lg_indice,lg_id,lg_nombre,lg_precio,lg_precio_outlet,lg_descuento,id
1,oled88z29la.aeu,"outlet tv lg signature 8k oled , 222cm (88"")",24999.0,10999.0,56.0,oled88z29la
2,oled65b36la.aeud,"outlet tv lg oled 4k de 65'' b3, procesador gran...",2699.0,1529.01,43.0,oled65b36lad
3,oled65g26la.aeu,"outlet tv lg 4k oled evo, gallery, 164cm (65"")",3299.0,1899.0,42.0,oled65g26la
4,oled48c25lb.aeu,"outlet tv lg 4k oled evo, smarttv, 122 cm (48"")",1599.0,939.11,41.0,oled48c25lb
5,oled48c25la.aeu,"outlet tv lg 4k oled evo, smarttv, 120 cm (48"")",1599.0,938.68,41.0,oled48c25la
6,oled55c34la.aeud,"outlet tv lg oled evo 4k de 55'' c3, procesador...",2199.0,1319.0,40.0,oled55c34lad
7,oled55g26la.aeu,"outlet tv lg 4k oled evo, gallery, 139cm (55"")",2299.0,1479.0,36.0,oled55g26la
8,oled77g36la.aeu,"outlet tv lg oled evo 4k de 77'' g3, procesador...",5199.0,3419.0,34.0,oled77g36la
9,sr23ga.aeu,outlet mando universal para televisores lg por...,,9.87,,sr23ga
