mie_indice,brand_indice,mie_nombre,mie_precios,mie_precio_rebajado,mie_descuento,lg_indice
1,2,"tv 65"" lg oled b3 (65b36la) - 4k 120hz, a7 (gen6) ia, smart tv, dolby vision/atmos 20w, gaming",2699.0,1599.0,41,2
2,2,"tv 65"" lg oled b3 (65b36la) - 4k 120hz, a7 (gen6) ia, smart tv, dolby vision/atmos 20w, gaming, smart tv, dolby vision iq/atmos 40w, gaming",2199.0,1359.0,38,6
3,2,"tv 65"" lg oled b3 (65b36la) - 4k 120hz, a7 (gen6) ia, smart tv, dolby vision/atmos 20w, gaming, a9 (gen6) ia, dolby vision iq/atmos 60w 4.2ch",5199.0,3359.0,35,8
